Station,LineGroup,Line
Sefton Station,T3,Bankstown Line
#Seven Hills Station,T1,Western Line
Seven Hills Station,T5,Cumberland Line
Shellharbour Junction Station,SCO,South Coast Line
Singleton Station,HUN,Hunter Line
Springwood Station,BMT,Blue Mountains Line
St James Station,CYC,City Circle
#St James Station,T2,Inner-West Line
#St James Station,T3,Bankstown Line
#St James Station,T8,Airport & South Line
#St James Station,SHL,Southern Highland Line
#St Leonards Station,T1,North Shore Line
#St Leonards Station,T1,Western Line
St Leonards Station,T9,Northern Line
#St Leonards Station,CCN,Central Coast & Newcastle Line
St Marys Station,T1,Western Line
St Peters Station,T3,Bankstown Line
#St Peters Station,T8,Airport & South Line
Stanmore Station,T2,Inner-West Line
Stanwell Park Station,SCO,South Coast Line
#Strathfield Station,T1,North Shore Line
#Strathfield Station,T1,Western Line
Strathfield Station,T2,Inner-West Line
#Strathfield Station,T6,Carlingford Line
#Strathfield Station,T9,Northern Line
#Strathfield Station,BMT,Blue Mountains Line
#Strathfield Station,CCN,Central Coast & Newcastle Line
Summer Hill Station,T2,Inner-West Line
Sutherland Station,T4,Eastern Suburbs & Illawarra Line
#Sutherland Station,SCO,South Coast Line
Sydenham Station,T3,Bankstown Line
#Sydenham Station,T4,Eastern Suburbs & Illawarra Line
#Sydenham Station,T8,Airport & South Line
#Sydenham Station,SHL,Southern Highland Line
Tahmoor Station,SHL,Southern Highland Line
Tallong Station,SHL,Southern Highland Line
Tarro Station,HUN,Hunter Line
Tascott Station,CCN,Central Coast & Newcastle Line
Telarah Station,HUN,Hunter Line
Telopea Station,T6,Carlingford Line
Tempe Station,T4,Eastern Suburbs & Illawarra Line
Teralba Station,CCN,Central Coast & Newcastle Line
Thirroul Station,SCO,South Coast Line
Thornleigh Station,T9,Northern Line
Thornton Station,HUN,Hunter Line
#Toongabbie Station,T1,Western Line
Toongabbie Station,T5,Cumberland Line
Town Hall Station,CYC,City Circle
#Town Hall Station,T2,Inner-West Line
#Town Hall Station,T1,North Shore Line
#Town Hall Station,T1,Western Line
#Town Hall Station,T2,Inner-West Line
#Town Hall Station,T3,Bankstown Line
#Town Hall Station,T4,Eastern Suburbs & Illawarra Line
#Town Hall Station,T6,Carlingford Line
#Town Hall Station,T8,Airport & South Line
#Town Hall Station,T9,Northern Line
#Town Hall Station,CCN,Central Coast & Newcastle Line
#Town Hall Station,SCO,South Coast Line
#Town Hall Station,SHL,Southern Highland Line
Towradgi Station,SCO,South Coast Line
Tuggerah Station,CCN,Central Coast & Newcastle Line
Turramurra Station,T1,North Shore Line
Turrella Station,T8,Airport & South Line
Unanderra Station,SCO,South Coast Line
Valley Heights Station,BMT,Blue Mountains Line
Victoria Street Station,HUN,Hunter Line
Villawood Station,T3,Bankstown Line
#Vineyard Station,T1,Western Line
Vineyard Station,T5,Cumberland Line
Wahroonga Station,T1,North Shore Line
Waitara Station,T1,North Shore Line
Wallarobba Station,HUN,Hunter Line
Warabrook Station,HUN,Hunter Line
Waratah Station,HUN,Hunter Line
Warnervale Station,CCN,Central Coast & Newcastle Line
Warrawee Station,T1,North Shore Line
Warrimoo Station,BMT,Blue Mountains Line
Warwick Farm Station,T2,Inner-West Line
#Warwick Farm Station,T3,Bankstown Line
#Warwick Farm Station,T5,Cumberland Line
#Waterfall Station,T4,Eastern Suburbs & Illawarra Line
Waterfall Station,SCO,South Coast Line
#Waverton Station,T1,North Shore Line
#Waverton Station,T1,Western Line
Waverton Station,T9,Northern Line
#Waverton Station,CCN,Central Coast & Newcastle Line
Wentworth Falls Station,BMT,Blue Mountains Line
#Wentworthville Station,T1,Western Line
Wentworthville Station,T5,Cumberland Line
Werrington Station,T1,Western Line
West Ryde Station,T9,Northern Line
#Westmead Station,T1,Western Line
Westmead Station,T5,Cumberland Line
Wiley Park Station,T3,Bankstown Line
#Windsor Station,T1,Western Line
Windsor Station,T5,Cumberland Line
Wingello Station,SHL,Southern Highland Line
Wirragulla Station,HUN,Hunter Line
#Wolli Creek Station,T4,Eastern Suburbs & Illawarra Line
Wolli Creek Station,T8,Airport & South Line
#Wolli Creek Station,SCO,South Coast Line
#Wolli Creek Station,SHL,Southern Highland Line
Wollongong Station,SCO,South Coast Line
#Wollstonecraft Station,T1,North Shore Line
#Wollstonecraft Station,T1,Western Line
Wollstonecraft Station,T9,Northern Line
#Wollstonecraft Station,CCN,Central Coast & Newcastle Line
Wombarra Station,SCO,South Coast Line
Wondabyne Station,CCN,Central Coast & Newcastle Line
Woodford Station,BMT,Blue Mountains Line
Woolooware Station,T4,Eastern Suburbs & Illawarra Line
Woonona Station,SCO,South Coast Line
Woy Woy Station,CCN,Central Coast & Newcastle Line
Wyee Station,CCN,Central Coast & Newcastle Line
Wynyard Station,CYC,City Circle
#Wynyard Station,T2,Inner-West Line
#Wynyard Station,T1,North Shore Line
#Wynyard Station,T1,Western Line
#Wynyard Station,T2,Inner-West Line
#Wynyard Station,T3,Bankstown Line
#Wynyard Station,T6,Carlingford Line
#Wynyard Station,T8,Airport & South Line
#Wynyard Station,T9,Northern Line
#Wynyard Station,CCN,Central Coast & Newcastle Line
#Wynyard Station,SHL,Southern Highland Line
Wyong Station,CCN,Central Coast & Newcastle Line
Yagoona Station,T3,Bankstown Line
Yennora Station,T2,Inner-West Line
#Yennora Station,T5,Cumberland Line
Yerrinbool Station,SHL,Southern Highland Line
Zig Zag Station,BMT,Blue Mountains Line
Macquarie Park Station,MET,Metro Line
Macquarie University Station,MET,Metro Line
North Ryde Station,MET,Metro Line
Wickham Station,CCN,Central Coast & Newcastle Line
Kembla Grange Station,SCO,South Coast Line
Civic Station,CCN,Central Coast & Newcastle Line
